Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"2","'004","Afghanistan","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","7480.461000","7571.537000","7667.533000","7764.546000","7864.285000","7971.931000","8087.727000","8210.201000","8333.826000","8468.211000","8622.466000","8790.140000","8969.047000","9157.465000","9355.514000","9565.147000","9783.147000","10010.030000","10247.780000","10494.489000","10752.971000","11015.857000","11286.753000","11575.305000","11869.879000","12157.386000","12425.267000","12687.301000","12938.862000","12986.369000","12486.631000","11155.195000","10088.289000","9951.449000","10243.686000","10512.221000","10448.442000","10322.758000","10383.460000","10673.168000","10694.796000","10745.167000","12057.433000","14003.760000","15455.555000","16418.912000","17106.595000","17788.819000","18493.132000","19262.847000","19542.982000","19688.632000","21000.256000","22645.130000","23553.551000","24411.191000","25442.944000","25903.301000","26427.199000","27385.307000","28189.672000","29249.157000","30466.479000","31541.209000","32716.210000","33753.499000","34636.207000","35643.418000","36686.784000","37769.499000","38972.230000","40099.462000","41128.771000","42239.854000","43372.950000","44515.793000","45667.550000","46827.624000","47990.912000","49158.072000","50330.837000","51506.437000","52685.458000","53866.558000","55046.630000","56226.855000","57410.144000","58600.249000","59792.941000","60985.590000","62180.342000","63375.847000","64572.473000","65768.823000","66964.990000","68161.269000","69355.671000","70546.052000","71729.374000","72905.780000","74075.234000","75237.171000","76389.963000","77532.235000","78663.890000","79788.207000","80899.832000","81998.402000","83084.272000","84152.304000","85205.111000","86241.147000","87254.855000","88248.606000","89228.558000","90189.815000","91131.134000","92059.516000","92972.912000","93861.812000","94723.569000","95562.571000","96383.675000","97187.281000","97970.493000","98732.058000","99473.737000","100196.491000","100896.716000","101578.603000","102242.085000","102881.221000","103500.474000","104100.265000","104677.122000","105228.197000","105752.837000","106254.728000","106734.775000","107193.821000","107630.910000","108041.524000","108430.416000","108801.262000","109153.078000","109487.140000","109802.281000","110094.664000","110366.921000","110621.216000","110854.784000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","3962.260000","4001.601000","4043.308000","4085.501000","4129.202000","4177.092000","4229.236000","4284.967000","4341.481000","4403.774000","4476.521000","4556.369000","4642.166000","4732.954000","4828.823000","4930.806000","5037.166000","5148.111000","5264.694000","5385.983000","5513.404000","5643.110000","5776.971000","5920.001000","6066.275000","6209.118000","6342.102000","6472.323000","6596.024000","6612.822000","6349.775000","5665.035000","5114.320000","5035.098000","5169.086000","5286.542000","5241.168000","5170.108000","5195.399000","5338.559000","5348.387000","5372.959000","6028.494000","7003.641000","7733.458000","8219.467000","8569.175000","8916.862000","9275.541000","9667.811000","9815.442000","9895.467000","10562.202000","11397.483000","11862.726000","12302.104000","12828.447000","13067.961000","13339.006000","13827.977000","14240.377000","14780.282000","15399.105000","15946.572000","16543.889000","17071.446000","17520.861000","18028.696000","18549.862000","19090.409000","19692.301000","20254.878000","20766.442000","21319.695000","21884.960000","22455.176000","23029.571000","23607.851000","24187.363000","24768.433000","25352.017000","25936.595000","26522.452000","27108.977000","27694.558000","28279.698000","28865.868000","29455.047000","30045.016000","30634.469000","31224.458000","31814.243000","32404.096000","32993.223000","33581.692000","34169.711000","34756.255000","35340.202000","35919.980000","36495.683000","37067.247000","37634.455000","38196.443000","38752.499000","39302.580000","39848.446000","40387.409000","40919.176000","41443.908000","41959.092000","42466.113000","42964.222000","43450.601000","43926.405000","44394.889000","44853.549000","45301.842000","45743.317000","46176.944000","46598.014000","47005.161000","47400.749000","47787.410000","48165.393000","48533.245000","48890.444000","49237.968000","49576.257000","49903.414000","50221.590000","50530.891000","50828.445000","51116.514000","51395.198000","51662.729000","51917.724000","52159.832000","52390.993000","52611.815000","52822.608000","53022.827000","53210.424000","53387.995000","53557.202000","53717.654000","53870.066000","54013.859000","54147.379000","54272.065000","54388.865000","54496.126000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","3518.202000","3569.936000","3624.224000","3679.045000","3735.084000","3794.838000","3858.490000","3925.235000","3992.345000","4064.438000","4145.945000","4233.771000","4326.881000","4424.511000","4526.691000","4634.341000","4745.981000","4861.918000","4983.086000","5108.507000","5239.568000","5372.747000","5509.781000","5655.304000","5803.603000","5948.268000","6083.166000","6214.979000","6342.838000","6373.547000","6136.856000","5490.160000","4973.968000","4916.351000","5074.600000","5225.679000","5207.273000","5152.650000","5188.060000","5334.609000","5346.409000","5372.208000","6028.939000","7000.119000","7722.096000","8199.445000","8537.421000","8871.958000","9217.591000","9595.036000","9727.541000","9793.166000","10438.055000","11247.647000","11690.825000","12109.086000","12614.497000","12835.340000","13088.192000","13557.331000","13949.295000","14468.875000","15067.373000","15594.637000","16172.321000","16682.054000","17115.346000","17614.722000","18136.922000","18679.089000","19279.930000","19844.584000","20362.329000","20920.159000","21487.990000","22060.618000","22637.979000","23219.773000","23803.550000","24389.639000","24978.821000","25569.841000","26163.005000","26757.582000","27352.072000","27947.157000","28544.276000","29145.202000","29747.925000","30351.121000","30955.883000","31561.605000","32168.376000","32775.601000","33383.299000","33991.559000","34599.416000","35205.850000","35809.393000","36410.097000","37007.986000","37602.717000","38193.520000","38779.736000","39361.310000","39939.760000","40512.423000","41079.226000","41640.364000","42193.212000","42738.999000","43276.925000","43804.254000","44322.201000","44833.670000","45336.266000","45829.293000","46316.198000","46795.968000","47263.798000","47718.408000","48161.821000","48596.264000","49021.889000","49437.249000","49841.615000","50235.769000","50620.234000","50993.302000","51357.014000","51711.194000","52052.776000","52383.960000","52705.067000","53014.393000","53310.474000","53593.005000","53863.736000","54122.961000","54371.213000","54608.084000","54831.100000","55042.421000","55244.061000","55435.425000","55617.075000","55788.423000","55947.285000","56094.857000","56232.351000","56358.658000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","551","Rural population","1000 No","7286.991000","7352.856000","7425.363000","7504.561000","7590.370000","7682.763000","7781.641000","7886.997000","7998.664000","8116.554000","8240.554000","8370.731000","8507.016000","8649.566000","8798.496000","8954.064000","9113.479000","9276.202000","9446.519000","9630.541000","9830.690000","10045.261000","10267.199000","10487.151000","10692.696000","10872.864000","11033.148000","11170.461000","11255.639000","11251.885000","11129.292000","10891.902000","10563.504000","10190.525000","9834.677000","9544.582000","9321.752000","9166.105000","9117.520000","9293.948000","9655.167000","10230.490000","10995.568000","11858.090000","12690.115000","13401.971000","13952.791000","14373.573000","14733.655000","15137.497000","15657.474000","16318.324000","17086.910000","17909.063000","18692.107000","19378.962000","19961.972000","20464.923000","20929.119000","21415.593000","21966.187000","22594.126000","23280.663000","23997.856000","24703.798000","25368.923000","25985.093000","26558.609000","27099.874000","27626.382000","28150.604000","28674.023000","29191.512000","29701.149000","30199.465000","30683.762000","31153.570000","31609.269000","32049.876000","32474.347000","32881.648000","33270.867000","33641.099000","33991.382000","34320.722000","34628.216000","34913.055000","35174.475000","35411.646000","35623.832000","35810.485000","35971.542000","36107.678000","36221.721000","36314.614000","36386.218000","36436.477000","36465.547000","36473.780000","36461.658000","36429.603000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","3010","Population - Est. & Proj.","561","Urban population","1000 No","465.127000","486.654000","509.617000","534.035000","560.077000","587.818000","617.389000","648.810000","682.282000","717.891000","755.797000","796.033000","838.852000","884.388000","932.865000","984.350000","1038.852000","1096.428000","1157.827000","1223.887000","1295.433000","1372.564000","1454.741000","1540.671000","1628.845000","1717.422000","1807.151000","1897.077000","1982.095000","2054.810000","2119.078000","2162.052000","2186.141000","2198.744000","2212.438000","2238.468000","2279.289000","2336.656000","2423.368000","2483.661000","2593.947000","2763.167000","2985.663000","3237.009000","3482.604000","3697.570000","3870.093000","4008.032000","4130.344000","4266.179000","4436.282000","4648.139000","4893.013000","5155.788000","5426.872000","5691.836000","5931.478000","6151.869000","6364.912000","6588.738000","6836.980000","7114.473000","7416.295000","7733.832000","8054.222000","8367.571000","8670.939000","8971.472000","9273.302000","9582.625000","9904.337000","10239.684000","10587.583000","10948.055000","11320.521000","11704.638000","12100.876000","12510.046000","12932.441000","13368.312000","13817.897000","14281.457000","14759.230000","15251.394000","15758.064000","16279.334000","16815.273000","17365.885000","17931.018000","18510.406000","19103.637000","19710.141000","20328.618000","20955.421000","21588.764000","22228.097000","22872.875000","23522.644000","24177.043000","24835.782000","25498.515000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","1252.582000","1289.168000","1326.948000","1366.744000","1409.005000","1453.730000","1500.624000","1549.571000","1600.983000","1655.020000","1711.189000","1769.079000","1828.232000","1888.302000","1949.013000","2009.789000","2070.689000","2132.443000","2195.466000","2259.799000","2324.731000","2389.812000","2455.171000","2520.436000","2585.452000","2650.122000","2713.560000","2774.795000","2833.314000","2888.763000","2941.651000","2992.389000","3041.179000","3087.911000","3131.726000","3171.725000","3207.128000","3237.676000","3263.019000","3282.182000","3295.066000","3302.081000","3303.739000","3300.711000","3293.999000","3284.364000","3271.331000","3253.719000","3232.175000","3208.260000","3182.021000","3153.612000","3123.551000","3092.991000","3062.622000","3032.634000","3003.387000","2976.084000","2951.689000","2930.541000","2913.399000","2900.654000","2892.193000","2887.014000","2884.102000","2882.481000","2881.063000","2879.355000","2877.013000","2873.883000","2866.849000","2854.710000","2842.321000","2832.439000","2826.020000","2821.626000","2816.695000","2811.110000","2804.771000","2797.599000","2789.599000","2780.747000","2770.957000","2760.238000","2748.602000","2736.080000","2722.651000","2708.322000","2693.123000","2677.082000","2660.261000","2642.682000","2624.352000","2605.325000","2585.680000","2565.420000","2544.581000","2523.233000","2501.416000","2479.150000","2456.472000","2433.447000","2410.095000","2386.456000","2362.612000","2338.671000","2314.636000","2290.462000","2266.228000","2241.969000","2217.671000","2193.330000","2168.947000","2144.514000","2119.999000","2095.344000","2070.486000","2045.423000","2020.143000","1994.581000","1968.690000","1942.411000","1915.726000","1888.653000","1861.203000","1833.355000","1805.098000","1776.443000","1747.379000","1717.915000","1688.101000","1657.949000","1627.496000","1596.837000","1566.007000","1535.081000","1504.139000","1473.235000","1442.424000","1411.764000","1381.307000","1351.092000","1321.193000","1291.701000","1262.630000","1233.974000","1205.778000","1178.009000","1150.649000","1123.709000","1097.162000"
"3","'008","Albania","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","642.458000","660.758000","679.660000","699.664000","721.024000","743.744000","767.676000","792.740000","819.159000","847.053000","876.178000","906.308000","937.255000","968.861000","1000.956000","1033.178000","1065.524000","1098.384000","1131.964000","1166.277000","1200.944000","1235.697000","1270.565000","1305.354000","1339.929000","1374.137000","1407.481000","1439.507000","1469.882000","1498.389000","1525.259000","1550.580000","1574.389000","1596.627000","1616.850000","1634.581000","1649.478000","1661.445000","1670.265000","1675.402000","1676.902000","1675.168000","1670.550000","1663.515000","1654.796000","1644.902000","1633.759000","1620.795000","1606.618000","1592.223000","1577.591000","1562.949000","1548.482000","1534.566000","1521.272000","1508.427000","1496.029000","1484.648000","1474.662000","1466.053000","1459.102000","1453.895000","1450.370000","1448.110000","1446.732000","1445.782000","1444.664000","1443.175000","1441.209000","1438.686000","1433.767000","1425.955000","1417.813000","1410.884000","1406.141000","1402.730000","1399.137000","1395.311000","1391.196000","1386.756000","1382.003000","1376.914000","1371.439000","1365.594000","1359.380000","1352.809000","1345.868000","1338.559000","1330.889000","1322.871000","1314.542000","1305.905000","1296.950000","1287.714000","1278.242000","1268.521000","1258.565000","1248.413000","1238.077000","1227.555000","1216.866000","1206.039000","1195.078000","1183.995000","1172.825000","1161.617000","1150.371000","1139.059000","1127.705000","1116.319000","1104.883000","1093.390000","1081.835000","1070.209000","1058.488000","1046.642000","1034.643000","1022.479000","1010.138000","997.586000","984.810000","971.780000","958.481000","944.934000","931.153000","917.134000","902.880000","888.407000","873.717000","858.829000","843.787000","828.597000","813.295000","797.938000","782.536000","767.135000","751.784000","736.514000","721.353000","706.323000","691.434000","676.699000","662.144000","647.806000","633.692000","619.786000","606.096000","592.606000","579.302000","566.177000","553.211000"
"3","'008","Albania","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","610.124000","628.409000","647.288000","667.080000","687.981000","709.987000","732.948000","756.831000","781.823000","807.966000","835.011000","862.770000","890.977000","919.440000","948.057000","976.611000","1005.164000","1034.058000","1063.503000","1093.522000","1123.787000","1154.115000","1184.607000","1215.082000","1245.522000","1275.985000","1306.079000","1335.288000","1363.431000","1390.374000","1416.392000","1441.809000","1466.791000","1491.284000","1514.876000","1537.144000","1557.650000","1576.231000","1592.754000","1606.779000","1618.163000","1626.914000","1633.189000","1637.195000","1639.203000","1639.462000","1637.572000","1632.924000","1625.558000","1616.037000","1604.429000","1590.663000","1575.069000","1558.425000","1541.351000","1524.207000","1507.358000","1491.436000","1477.027000","1464.488000","1454.297000","1446.759000","1441.822000","1438.905000","1437.370000","1436.698000","1436.399000","1436.180000","1435.804000","1435.198000","1433.082000","1428.755000","1424.507000","1421.555000","1419.879000","1418.896000","1417.557000","1415.800000","1413.575000","1410.843000","1407.596000","1403.833000","1399.518000","1394.645000","1389.222000","1383.272000","1376.783000","1369.764000","1362.234000","1354.211000","1345.719000","1336.777000","1327.401000","1317.611000","1307.439000","1296.899000","1286.016000","1274.820000","1263.339000","1251.594000","1239.607000","1227.409000","1215.017000","1202.461000","1189.787000","1177.054000","1164.265000","1151.403000","1138.523000","1125.650000","1112.788000","1099.940000","1087.111000","1074.304000","1061.511000","1048.702000","1035.843000","1022.944000","1010.005000","996.995000","983.880000","970.631000","957.245000","943.719000","930.049000","916.221000","902.217000","888.036000","873.662000","859.086000","844.314000","829.352000","814.201000","798.899000","783.471000","767.947000","752.356000","736.721000","721.071000","705.441000","689.874000","674.394000","659.048000","643.896000","628.938000","614.188000","599.682000","585.403000","571.347000","557.532000","543.952000"
"3","'008","Albania","3010","Population - Est. & Proj.","551","Rural population","1000 No","1003.869000","1010.645000","1016.436000","1023.453000","1030.967000","1038.512000","1052.235000","1071.504000","1091.461000","1112.188000","1133.697000","1164.229000","1198.718000","1233.922000","1269.163000","1303.967000","1338.094000","1371.628000","1404.776000","1437.257000","1467.991000","1498.850000","1529.743000","1560.670000","1591.577000","1622.471000","1653.365000","1684.337000","1715.370000","1746.480000","1776.005000","1804.665000","1832.278000","1860.451000","1891.335000","1925.949000","1965.997000","2009.561000","2049.704000","2077.214000","2086.075000","2073.348000","2033.508000","1983.942000","1936.056000","1897.862000","1871.645000","1854.740000","1843.604000","1832.914000","1818.833000","1797.423000","1762.229000","1724.344000","1683.584000","1640.246000","1593.892000","1545.166000","1496.108000","1449.427000","1406.665000","1368.297000","1333.585000","1302.236000","1272.790000","1244.341000","1216.737000","1190.155000","1164.388000","1139.266000","1114.672000","1090.487000","1066.667000","1043.276000","1020.417000","998.161000","976.498000","955.382000","934.800000","914.735000","895.174000","876.116000","857.570000","839.540000","822.025000","805.034000","788.573000","772.664000","757.351000","742.008000","726.709000","711.475000","696.319000","681.265000","666.337000","651.555000","636.931000","622.480000","608.216000","594.158000","580.320000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","3010","Population - Est. & Proj.","561","Urban population","1000 No","259.305000","276.852000","299.653000","324.646000","351.911000","381.458000","406.854000","428.645000","451.761000","476.296000","502.359000","521.671000","538.926000","556.612000","574.430000","592.158000","609.691000","627.065000","644.375000","662.396000","682.607000","703.185000","724.101000","745.333000","766.886000","788.758000","810.971000","833.535000","856.480000","879.806000","905.234000","930.664000","956.036000","982.173000","1010.257000","1040.849000","1075.010000","1111.775000","1147.363000","1176.442000","1195.379000","1202.083000","1207.079000","1205.641000","1204.539000","1208.874000","1220.583000","1238.301000","1260.155000","1282.662000","1303.137000","1324.985000","1356.800000","1386.661000","1414.163000","1438.933000","1460.439000","1478.741000","1495.543000","1513.208000","1533.860000","1558.362000","1586.454000","1616.742000","1647.985000","1679.011000","1709.611000","1740.032000","1769.975000","1799.162000","1827.362000","1854.317000","1879.873000","1904.065000","1927.019000","1948.831000","1969.454000","1988.766000","2006.714000","2023.226000","2038.245000","2051.748000","2063.726000","2074.176000","2083.070000","2090.417000","2096.209000","2100.469000","2103.221000","2105.172000","2106.349000","2106.784000","2106.493000","2105.513000","2103.911000","2101.720000","2098.974000","2095.708000","2091.963000","2087.803000","2083.271000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
